#cdEstado,nomeUF,cdMunicipio,codMunicIbge,Municipio,MesEmissao,AnoEmissao,cdPrograma,cdSubPrograma,cdFonteRecurso,Atividade,QtdCusteio,VlCusteio,QtdInvestimento,VlInvestimento,QtdComercializacao,VlComercializacao,QtdIndustrializacao,VlIndustrializacao,AreaInvestimento,AreaCusteio,cnpjIF,nomeIF
6,CE,15600,2312205.0,SANTA QUITï¿½RIA,4,2020,1,6,502,1,0,0.0,2,2322.0,0,0.0,0,0.0,0.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,28611,2306702.0,JAGUARETAMA,2,2020,999,0,502,2,0,0.0,5,199984.59,0,0.0,0,0.0,20.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,11594,2302305.0,BELA CRUZ,4,2020,1,56,502,1,0,0.0,17,30300.0,0,0.0,0,0.0,18.5,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,7900,2300309.0,ACOPIARA,11,2020,1,5,502,2,0,0.0,9,74483.0,0,0.0,0,0.0,11.51,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,17907,2301406.0,ARATUBA,11,2020,1,56,502,2,0,0.0,33,89000.0,0,0.0,0,0.0,8.2,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,27533,2314003.0,Vï¿½RZEA ALEGRE,10,2020,1,2,300,2,0,0.0,3,60836.88,0,0.0,0,0.0,14.68,0.0,0,BCO DO BRASIL S.A.
6,CE,23654,2303600.0,CATARINA,12,2020,1,5,502,1,0,0.0,2,10392.0,0,0.0,0,0.0,1.06,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,19929,2309904.0,PACUJï¿½,6,2020,1,56,502,1,2,7000.0,1,2500.0,0,0.0,0,0.0,0.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,22026,2308807.0,MORAï¿½JO,12,2020,999,0,300,2,1,21829.8,0,0.0,0,0.0,0,0.0,0.0,6.42,0,BCO DO BRASIL S.A.
6,CE,34227,2314102.0,VIï¿½OSA DO CEARï¿½,10,2020,1,2,502,2,0,0.0,3,21352.0,0,0.0,0,0.0,0.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,34320,2300408.0,AIUABA,3,2020,1,54,502,1,0,0.0,2,13000.0,0,0.0,0,0.0,2.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,9582,2306405.0,ITAPIPOCA,12,2020,1,56,502,1,0,0.0,147,325300.0,0,0.0,0,0.0,72.5,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,22538,2301604.0,ASSARï¿½,6,2020,1,5,502,2,0,0.0,16,121015.4,0,0.0,0,0.0,9.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,22693,2306306.0,ITAPAJï¿½,7,2020,1,56,502,2,0,0.0,13,55500.0,0,0.0,0,0.0,1.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,22026,2308807.0,MORAï¿½JO,2,2020,1,56,502,2,1,2000.0,8,34000.0,0,0.0,0,0.0,0.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,22538,2301604.0,ASSARï¿½,11,2020,1,2,502,2,0,0.0,4,19584.0,0,0.0,0,0.0,27.56,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
